RunID,Sample Code,Sample Identification,Cell number,Specimen,Unit,CE 15:0,CE 16:0,CE 16:1,CE 18:0,CE 18:1,CE 18:2,CE 18:3,CE 20:0,CE 20:3,CE 20:4,CE 20:5,CE 22:6,Cer d34:0,Cer d34:1,Cer d36:0,Cer d36:1,Cer d38:1,Cer d40:1,Cer d40:2,Cer d41:1,Cer d42:0,Cer d42:1,Cer d42:2,DAG 32:0,DAG 32:1,DAG 34:1,DAG 36:1,DAG 36:2,DAG 36:3,DAG 36:4,DAG 38:1,DAG 38:2,DAG 38:4,DAG 38:5,DAG 38:6,DAG 40:4,DAG 40:5,DAG 40:6,DAG 40:7,DAG 40:8,LPC 14:0,LPC 15:0,LPC 16:0,LPC 16:1,LPC 17:0,LPC 17:1,LPC 18:0,LPC 18:1,LPC 18:2,LPC 20:0,LPC 20:1,LPC 20:3,LPC 20:4,LPC 22:4,LPC 22:5,LPC 22:6,LPC O-16:0,LPC O-16:1,LPC O-18:0,LPC O-18:1,LPE 16:0,LPE 18:0,LPE 18:1,LPE 18:2,LPE 20:3,LPE 20:4,LPE 22:6,PC 30:0,PC 32:0,PC 32:1,PC 32:3,PC 33:0,PC 33:1,PC 34:0,PC 34:1,PC 34:2,PC 34:3,PC 34:4,PC 34:5,PC 34:6,PC 35:2,PC 35:5,PC 36:0,PC 36:1,PC 36:2,PC 36:3,PC 36:4,PC 36:5,PC 36:6,PC 37:1,PC 37:3,PC 37:4,PC 37:6,PC 38:1,PC 38:2,PC 38:3,PC 38:4,PC 38:5,PC 38:6,PC 39:3,PC 39:4,PC 39:5,PC 39:6,PC 40:5,PC 40:6,PC 40:7,PC 42:4,PC 42:5,PC 42:6,PC O-30:0,PC O-32:0,PC O-32:1,PC O-34:0,PC O-34:1,PC O-34:2,PC O-34:3,PC O-36:1,PC O-36:2,PC O-36:4,PC O-36:5,PC O-38:2,PC O-38:3,PC O-38:4,PC O-38:5,PC O-38:6,PC O-40:4,PC O-40:5,PC O-40:6,PC O-40:7,PC O-42:5,PE 33:1,PE 34:1,PE 34:2,PE 35:3,PE 36:0,PE 36:2,PE 36:4,PE 36:6,PE 37:4,PE 38:4,PE 38:5,PE 38:6,PE 40:4,PE 40:6,PE O-34:3,PE O-36:2,PE O-36:3,PE O-36:5,PE O-38:4,PE O-38:5,PE O-38:6,PE O-38:7,PE O-40:4,PE O-40:6,PI 36:0,PI 36:1,PI 36:2,PI 36:3,PI 36:4,PI 36:5,PI 36:6,PI 38:0,PI 38:1,PI 38:2,PI 38:3,PI 38:4,PI 38:5,PI 38:6,PI 38:7,PI 40:2,PI 40:3,PI 40:4,PI 40:5,PI 40:6,PI 40:7,PI 40:8,PI 42:0,PI 42:1,PI 42:2,PI 42:6,PI 42:7,PI 42:8,PI 42:9,PS 34:0,PS 34:1,PS 36:0,PS 36:1,PS 36:2,PS 36:3,PS 36:4,PS 38:0,PS 38:1,PS 38:2,PS 38:3,PS 38:4,PS 38:5,PS 38:6,PS 40:2,PS 40:3,PS 40:4,PS 40:5,PS 40:6,PS 40:7,PS 40:8,PS 41:4,PS 41:5,PS 41:6,PS 41:7,PS 42:4,PS 42:5,PS 42:6,PS 42:7,PS 42:8,SM d31:1,SM d32:1,SM d32:2,SM d33:1,SM d34:0,SM d34:1,SM d34:2,SM d35:1,SM d35:2,SM d36:0,SM d36:1,SM d36:2,SM d37:1,SM d38:1,SM d38:2,SM d39:1,SM d39:2,SM d40:1,SM d40:2,SM d41:1,SM d41:2,SM d42:1,SM d42:2,SM d44:2,TAG 40:0,TAG 42:0,TAG 42:1,TAG 44:0,TAG 44:1,TAG 44:2,TAG 46:0,TAG 46:1,TAG 46:2,TAG 46:4,TAG 48:0,TAG 48:1,TAG 48:2,TAG 48:3,TAG 49:1,TAG 49:3,TAG 50:0,TAG 50:1,TAG 50:2,TAG 50:3,TAG 50:4,TAG 51:1,TAG 51:2,TAG 51:3,TAG 51:4,TAG 52:0,TAG 52:1,TAG 52:2,TAG 52:3,TAG 52:4,TAG 53:2,TAG 53:3,TAG 53:4,TAG 54:1,TAG 54:2,TAG 54:3,TAG 54:4,TAG 54:5,TAG 54:6,TAG 55:1,TAG 55:3,TAG 56:1,TAG 56:4,TAG 56:7,TAG 57:1,TAG 58:8,TAG 58:9
R100149,105817,2 FBC,170000,cells,pmol,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.299816156,3.026584764,0.087146432,0.491129397,0.360612892,0.889094069,0.30164046,0.391731403,0.050142286,0.625567876,1.839087248,0.764679439,#VALUE!,3.995803596,1.267596155,12.09056556,13.21875913,0.789502476,0.727414338,3.839765065,1.580837011,1.017956114,#VALUE!,0.563711364,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.258139786,13.52190803,1.086233204,0.524625711,#VALUE!,17.8179804,12.26211025,2.154953084,#VALUE!,0.549603848,2.146418759,4.274912445,0.989058139,3.027728677,3.197971823,0.725636005,#VALUE!,#VALUE!,0.560128355,0.441672661,2.087815211,0.505252399,0.363922412,0.460337103,8.032532396,1.240562818,5.701070528,58.12145677,9.220609817,0.438765307,0.64574684,0.615108691,7.247837496,46.7575722,37.61173854,1.764949068,0.581029285,#VALUE!,#VALUE!,0.757277963,0.986084743,#VALUE!,13.4405562,38.13634895,20.67086684,32.84892204,1.283498366,#VALUE!,0.087844176,0.130043276,0.669866229,0.597275669,#VALUE!,1.851142173,3.98699572,33.69204353,13.48907354,2.786101705,#VALUE!,0.21799759,0.126898706,#VALUE!,3.804371242,1.564283363,3.292667637,0.626891872,0.461106969,0.139987727,0.316593035,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3.382244698,0.12824473,#VALUE!,1.794594257,14.63704185,1.064859922,#VALUE!,#VALUE!,7.707090417,16.47190716,1.055771861,1.693523886,#VALUE!,0.386559299,1.05503892,0.463676553,#VALUE!,2.793564007,2.796923886,1.3450474,1.979555117,11.82125171,3.961744238,#VALUE!,1.975535589,26.52027621,2.966051368,1.307608531,21.23693218,3.423531501,0.791650806,0.733032739,1.252792074,35.17387725,1.111418503,18.46749809,12.14645082,4.599435647,#VALUE!,2.498994789,#VALUE!,1.395541558,4.118070417,1.542606178,6.037614445,3.467759615,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.71616414,55.27003946,6.310683027,#VALUE!,#VALUE!,#VALUE!,#VALUE!,6.87781397,2.296300836,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,14.37654942,2.738948999,2.77268896,13.73241205,14.99510486,7.759717421,0.545524232,#VALUE!,#VALUE!,#VALUE!,6.85593258,15.989485,#VALUE!,#VALUE!,#VALUE!,#VALUE!,40.25101923,5.588713145,7.002375417,0.400599916,2.526033581,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,9.475504691,1.88044701,#VALUE!,0.348102953,#VALUE!,0.876773504,2.176911257,68.14335903,3.805971381,0.528448194,#VALUE!,0.133973029,4.829887164,0.940445567,#VALUE!,1.590002914,0.303017876,#VALUE!,#VALUE!,#VALUE!,1.74200328,#VALUE!,0.864162085,#VALUE!,14.62199507,#VALUE!,0.379981477,0.448515387,#VALUE!,0.631863661,0.308528355,#VALUE!,0.729256312,0.873570484,0.502127635,#VALUE!,0.968925652,1.030298451,1.354972825,0.43297784,#VALUE!,#VALUE!,#VALUE!,1.675510578,2.81339569,2.157029697,0.466726787,#VALUE!,0.305126848,#VALUE!,#VALUE!,#VALUE!,0.493029144,3.589385525,4.824338428,2.301491658,#VALUE!,#VALUE!,#VALUE!,0.391308674,0.903244548,3.087509211,3.844979086,2.669362344,0.401252971,#VALUE!,#VALUE!,#VALUE!,0.477600247,#VALUE!,#VALUE!,0.19431764,0.19590927
R100149,105818,3 FBC,180000,cells,pmol,#VALUE!,#VALUE!,#VALUE!,89.70804507,130.9273314,#VALUE!,#VALUE!,#VALUE!,#VALUE!,107.7027541,#VALUE!,109.622703,0.267742246,2.369967932,0.057310155,0.446957702,0.2834079,0.590210468,0.258383459,0.312290844,0.123627713,0.573000274,1.4470122,1.016006224,#VALUE!,3.677194008,0.805827117,10.95430137,12.65164803,0.872686309,0.576871239,3.247264865,1.697948948,1.335926366,#VALUE!,0.770355689,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.65480063,1.240105983,27.30755163,3.161418677,1.781832126,1.015274995,28.97064629,24.94271377,3.292417455,#VALUE!,0.922405006,4.118956609,7.490632109,1.023364837,5.38583696,5.9547473,0.980856121,0.693065676,#VALUE!,1.008595479,0.324673504,1.710373693,0.63080478,0.32505628,0.387393076,5.888801098,0.984066296,5.005493579,44.24887698,8.069275547,0.411253109,0.62393938,0.819818937,5.805075475,43.83855489,33.50308219,1.52344344,0.442378652,#VALUE!,#VALUE!,0.780687633,0.768418891,#VALUE!,15.14688345,34.9966918,18.05825985,28.28644676,1.120514365,#VALUE!,0.221241893,0.201569962,0.789937384,0.435841244,#VALUE!,1.784175662,5.050848263,28.45646443,12.81808609,3.039950565,#VALUE!,0.253558694,0.240293587,0.166013685,4.039652297,3.014761118,2.886810172,0.469815736,0.368360493,0.116136635,0.26199554,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3.028778133,0.120473884,#VALUE!,1.522748361,11.03577347,0.961907163,#VALUE!,#VALUE!,5.95903046,11.73431735,1.001663484,1.280159203,#VALUE!,0.430535544,0.85735078,0.360377981,#VALUE!,2.339099066,2.683204866,1.336681422,2.02796808,9.752794017,3.610537383,#VALUE!,1.878266262,23.12778008,2.448249254,1.064384955,17.16878051,2.923366885,0.557369206,0.523632642,0.978442045,28.71922516,0.884481132,15.91361112,9.167981888,4.50508655,#VALUE!,2.202198802,#VALUE!,1.043352003,3.43767654,1.388933662,4.69378354,3.247643234,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.504696173,41.4560048,5.220667484,#VALUE!,#VALUE!,#VALUE!,#VALUE!,4.995028411,1.279044928,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,14.85109404,2.070306606,2.438269379,9.953723774,11.61650415,7.382706049,0.393796871,#VALUE!,#VALUE!,#VALUE!,5.567999369,13.8528541,#VALUE!,#VALUE!,#VALUE!,#VALUE!,28.19120245,4.417396044,6.158874459,#VALUE!,2.319836959,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,7.09052074,1.369436998,#VALUE!,0.442252895,#VALUE!,0.922220229,2.015567836,58.00780521,3.273737659,0.669895404,#VALUE!,0.188221257,5.482626861,1.3648239,0.163892499,1.899961988,0.517339607,#VALUE!,#VALUE!,#VALUE!,2.30390978,#VALUE!,1.101997048,#VALUE!,13.45933821,#VALUE!,0.422569309,0.489978318,#VALUE!,0.903983594,0.315077054,#VALUE!,1.03103087,0.9975707,0.459440883,#VALUE!,1.623811595,1.860108288,2.022213259,0.524346573,0.361342854,#VALUE!,0.374470578,6.024490564,7.250216704,3.943660086,0.729579193,#VALUE!,0.55457344,0.346817946,#VALUE!,#VALUE!,2.037701791,12.31026575,13.88285029,5.281612426,#VALUE!,#VALUE!,#VALUE!,1.418070025,3.233675197,9.742951753,10.33565321,6.246576728,0.880772621,#VALUE!,#VALUE!,#VALUE!,1.563852176,0.532447777,#VALUE!,0.585532487,0.391736722
R100149,105819,4 FBC,210000,cells,pmol,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,74.54235892,0.194164964,1.927404149,0.055867811,0.404671618,0.2512681,0.601440891,0.224487069,0.274551481,0.069996046,0.486230123,1.269617024,0.943880447,0.779291461,3.404788269,0.959095668,10.03567688,11.45450691,0.486377509,0.420602915,3.01470445,1.151070388,1.136297026,#VALUE!,0.344945576,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.284098656,0.737366598,15.13155296,1.39590099,0.855020731,0.470387486,17.63013957,14.07775132,1.990943384,#VALUE!,0.537116275,2.306442199,4.498796118,0.860373474,3.449801099,3.291637389,0.681761339,0.295204357,#VALUE!,0.667834689,0.252755991,1.299629309,0.439145978,0.242479054,0.316905839,5.894960144,0.990922871,4.698637156,40.38910776,6.909305613,0.311301593,0.562458974,0.506123901,5.402561803,33.45488357,29.38237455,1.355095055,0.457623511,0.06601196,#VALUE!,0.577557946,0.71757904,#VALUE!,10.71050533,30.46170592,15.6884593,26.17092868,0.99245314,#VALUE!,0.10383604,0.12080318,0.559447471,0.443236567,#VALUE!,1.384102378,3.4563854,26.42452179,11.21067338,2.541436757,#VALUE!,0.157116017,0.122456842,0.084118898,3.210626561,1.766870222,2.582531568,0.471318552,0.369546703,0.073946993,0.248131562,#VALUE!,#VALUE!,#VALUE!,#VALUE!,2.441709383,0.069637062,#VALUE!,1.222328403,10.07444934,0.766912731,#VALUE!,#VALUE!,5.533524004,10.97998325,0.931555158,1.204999031,#VALUE!,0.334766459,0.977447104,0.326920802,#VALUE!,1.608182268,1.971903691,0.839917334,1.517560629,7.579442323,2.555683869,#VALUE!,1.313685056,17.26655777,1.9015008,0.940773908,13.44065838,2.813038,0.444478198,0.383831792,0.781361848,21.70971483,0.614409532,12.5312087,7.24513704,3.671943992,#VALUE!,1.879585132,#VALUE!,0.814633432,2.702403699,1.142587948,4.281438006,2.862816964,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.207743261,41.62380752,4.665236992,#VALUE!,#VALUE!,#VALUE!,#VALUE!,4.972219701,1.514144301,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,12.51101501,1.657587316,2.115999136,9.436817514,11.58920285,5.914164034,0.343293678,#VALUE!,#VALUE!,#VALUE!,5.326855055,12.39493688,#VALUE!,#VALUE!,#VALUE!,#VALUE!,28.67206402,4.500140998,6.770715128,#VALUE!,1.82276402,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,7.186550707,1.643081897,#VALUE!,0.291133948,#VALUE!,0.611300008,1.614075664,48.16891326,2.681311755,0.444832454,#VALUE!,0.113088331,4.215226259,0.911728318,#VALUE!,1.412858976,0.338764339,#VALUE!,#VALUE!,#VALUE!,1.536194838,#VALUE!,0.690682492,#VALUE!,10.99687391,#VALUE!,0.390906314,0.433760805,#VALUE!,0.527514116,0.447685181,0.251694954,0.572994005,0.849739982,0.568479162,#VALUE!,0.929406192,1.033736258,1.314032946,0.437776934,0.24517427,#VALUE!,0.237610725,2.424788861,3.353094461,1.985656118,0.4095824,#VALUE!,0.330708061,#VALUE!,#VALUE!,#VALUE!,0.830983974,4.732182496,5.871717229,2.361444843,#VALUE!,#VALUE!,#VALUE!,0.583934601,1.248625159,3.754453561,4.301689857,2.823801201,0.340847451,#VALUE!,#VALUE!,#VALUE!,0.540467717,0.202456928,#VALUE!,0.246209619,0.129620768
R100149,105820,5 FBC,190000,cells,pmol,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,59.54715572,#VALUE!,0.313516432,2.483629746,0.093128228,0.525562297,0.379254969,0.71098501,0.267600994,0.370198483,0.081967069,0.614576931,1.517745738,0.949605198,0.865884896,4.528184596,1.017626741,14.80442053,16.86697243,0.654306057,0.702103787,4.049098986,1.309997966,1.5669461,#VALUE!,0.610027421,#VALUE!,#VALUE!,#VALUE!,0.337431031,#VALUE!,0.837129465,14.86849263,1.38737553,0.832780833,0.503671181,19.43944456,14.38021079,2.555310788,#VALUE!,0.633605925,2.66652194,4.607129968,0.83980981,3.763381205,3.86138532,0.870475455,#VALUE!,#VALUE!,0.775873778,0.364439737,1.929439646,0.541958149,0.266664592,0.450296724,6.112572056,0.842168274,4.845621583,43.09757835,7.805321984,0.325558438,0.589333842,0.547611736,6.230276596,39.41592543,34.73599647,1.661394332,0.515325807,0.089511261,#VALUE!,0.652218151,0.86974358,#VALUE!,13.00969737,36.46343384,19.53676595,29.77927453,1.120009896,#VALUE!,#VALUE!,0.129418004,0.526271698,0.525278565,#VALUE!,1.600406811,3.348338535,29.54568814,12.33721595,2.873566376,#VALUE!,0.162358328,0.111673027,#VALUE!,3.267230134,1.519150956,2.876462586,0.522670441,0.406441698,0.10987526,0.304717667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,3.272257423,0.092520731,#VALUE!,1.664761954,12.86172976,1.035520478,#VALUE!,#VALUE!,7.201046074,14.42284291,1.096210097,1.54581142,#VALUE!,0.439465353,1.171386054,0.384395065,#VALUE!,2.155473382,2.494447467,0.935270303,1.693049163,9.790311728,3.20470528,#VALUE!,1.665422503,21.68192319,2.415777081,1.002263781,16.54236892,3.036696787,0.681371534,0.582143281,1.079927681,27.00867917,0.988898971,16.78075585,9.737266639,3.888326403,#VALUE!,2.403246733,#VALUE!,1.203112693,3.560637438,1.67459428,4.94041931,3.073261018,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.622591632,45.86314288,5.885547386,0.620348692,#VALUE!,#VALUE!,#VALUE!,5.57228724,1.789307725,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,14.54620239,2.446961871,2.300466829,12.86910947,14.64063109,7.518596818,0.497059953,#VALUE!,#VALUE!,#VALUE!,5.955090616,14.84523881,0.43255827,#VALUE!,#VALUE!,#VALUE!,35.47898736,5.080082399,7.006684758,#VALUE!,2.487261631,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,7.908922033,1.808962693,#VALUE!,0.298018129,#VALUE!,0.753462982,1.934474561,59.6943136,3.285057838,0.433197279,#VALUE!,0.140531693,4.570768916,0.983230616,0.11634217,1.585241507,0.366379845,#VALUE!,#VALUE!,#VALUE!,1.647018597,#VALUE!,0.73243934,#VALUE!,11.31056415,#VALUE!,0.541098671,0.475374444,0.366244316,0.6487703,0.797633064,0.359991789,0.708183505,1.464262393,0.931257663,#VALUE!,1.138477161,1.759324202,2.197945727,0.801385194,0.41487958,0.352858086,0.209134202,4.806829319,6.268988942,3.552746517,0.799770726,#VALUE!,0.499351272,0.392805288,#VALUE!,#VALUE!,1.8304603,13.54024081,16.8755824,11.55820939,0.240443854,0.230478902,0.28491897,1.278282778,4.018579447,19.60545916,24.99507041,28.92169352,0.839631698,#VALUE!,#VALUE!,0.278888928,1.967050893,0.429798757,#VALUE!,0.528181713,0.470886758
R100149,105821,6 FBC 206,650000,cells,pmol,#VALUE!,#VALUE!,#VALUE!,25.87217253,28.21284769,#VALUE!,#VALUE!,#VALUE!,#VALUE!,23.91494874,60.10500445,24.88941597,0.428770662,4.386228814,0.101349349,1.336124492,0.512678834,1.195638501,0.618436566,0.549251996,0.024325716,0.78694552,2.801383333,0.591275477,0.518881609,4.140176574,0.958488809,12.5944609,11.17253079,1.317070583,0.550678665,3.537151729,3.420938949,1.175049932,0.306242097,1.141949872,0.421222139,#VALUE!,#VALUE!,0.253833046,0.120791522,0.316143867,12.37526926,0.376050715,0.683708615,0.118851481,26.70479817,5.168462394,1.888815589,0.357639896,0.455538056,0.567508546,2.26432765,0.316729852,0.834804663,0.851672595,0.583878933,0.327604259,0.335986586,0.447383287,0.589133297,4.39040938,0.723602153,0.451955509,1.22202469,12.8355394,3.539376169,6.045164473,88.62991125,9.922866221,0.370018849,1.359713757,0.758990595,10.39138126,49.06954391,49.46325976,1.714607535,0.34756083,0.078185711,#VALUE!,0.967627892,0.948971747,#VALUE!,13.30133193,57.51929232,19.00711785,54.76892977,1.170750452,0.072816398,0.134101844,0.216184548,1.133224803,0.420029397,#VALUE!,1.563383543,4.69358616,56.12957521,19.78705141,6.806879827,#VALUE!,0.315511712,0.225723222,0.208986169,4.834846057,5.460712882,3.962496414,0.196631622,0.188099592,0.08093624,0.192649273,#VALUE!,0.405867353,#VALUE!,#VALUE!,1.68145848,0.145728164,#VALUE!,0.737324712,7.777993456,1.904842501,#VALUE!,#VALUE!,3.572395593,10.08758905,1.773828085,0.531553482,#VALUE!,0.551637338,1.794599544,0.105286438,#VALUE!,1.732269374,2.563194062,0.997783091,3.666387471,9.117831018,3.831380254,0.03033744,2.013114694,25.46315622,2.517676223,2.092027723,6.735261712,8.450389912,0.501785111,0.652451201,0.874183888,33.43509177,0.70684108,28.32785104,13.85203453,11.7336698,#VALUE!,4.512982875,#VALUE!,1.681164286,2.055517113,1.318296827,8.097452752,0.754676287,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.388891217,62.05825961,7.690239045,1.074736853,#VALUE!,#VALUE!,#VALUE!,3.1597171,2.673817116,1.504600743,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.224633975,#VALUE!,#VALUE!,#VALUE!,3.880887297,2.418117648,1.045074375,17.46579415,31.2587905,2.377361697,1.499400942,#VALUE!,0.237244772,0.412968802,13.81649583,49.52367669,0.322151517,#VALUE!,#VALUE!,#VALUE!,43.50723273,14.703365,27.85789425,0.261991193,1.445221667,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,4.822675678,5.828510504,#VALUE!,0.384986167,0.027453239,1.469541186,1.811365849,75.63824143,3.685433416,0.990142871,0.07015716,0.280943946,10.43041264,2.559331608,0.359401886,3.060918533,1.071743999,#VALUE!,0.114747504,#VALUE!,3.95547191,#VALUE!,2.50683569,#VALUE!,20.76585228,#VALUE!,0.077393242,0.099610595,0.083529697,0.153041733,0.19765981,0.139616793,0.308945706,0.596309219,0.373512749,#VALUE!,0.914501846,2.233853342,2.398641754,0.617938812,0.231501532,0.125789933,0.231470019,8.951280157,12.32386072,6.646683067,1.156528721,0.20306313,0.695895295,0.460950663,0.176719489,0.058324207,3.02216056,21.88010415,22.9575717,7.54825078,0.332579837,0.309195028,0.351457866,1.795868035,4.493916337,15.94069933,16.99623101,8.625164847,0.535777233,#VALUE!,#VALUE!,0.192397371,1.310582779,0.33080955,#VALUE!,0.422081587,0.241882931
R100149,105822,7 FBC 206,460000,cells,pmol,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,29.61470985,171.3349565,#VALUE!,0.57743391,5.411216925,0.134984612,1.457714376,0.568827473,1.399383496,0.664545068,0.675460574,0.032900471,1.001546932,3.286879258,0.793552931,0.820404025,4.002449385,0.954881918,11.51037021,11.45045564,1.066681393,0.555490476,3.319441558,3.079086433,1.117481871,0.263098822,0.996792739,0.58625465,#VALUE!,#VALUE!,0.237306969,0.211493247,0.400067422,16.01206534,0.862202607,0.964495889,0.264054382,28.7415398,9.67644021,2.204269137,0.417020245,0.577692049,1.312754352,2.811888123,0.451202767,1.814057023,1.993551257,0.596656187,0.39668806,0.268838348,0.571854812,0.441450797,3.930574645,0.520179934,0.300181163,1.100737476,5.175211561,1.606748388,6.443451202,100.9637892,12.12922565,0.410672872,1.417005486,0.872620401,11.15699877,58.32496987,60.26963393,2.38546536,0.408456973,0.094640327,#VALUE!,1.138471551,1.032418888,#VALUE!,14.73355268,63.65546783,24.30672864,57.67511281,1.407653569,0.090263938,0.146349866,0.241527936,1.212124535,0.512227003,#VALUE!,1.586966553,4.643667463,58.04230717,21.24059013,7.247754602,#VALUE!,0.287319666,0.26208046,0.173617234,4.858157819,5.668543105,4.334606546,0.21190969,0.212064969,0.074740107,0.185413496,#VALUE!,0.472486755,#VALUE!,#VALUE!,1.84858552,0.203015292,#VALUE!,0.769901049,8.167815457,2.120489259,#VALUE!,#VALUE!,3.249202109,10.9755372,1.794333715,0.527855502,#VALUE!,0.501846226,1.803792502,0.113814872,#VALUE!,2.262241935,3.104029255,1.120196747,3.858974256,10.08562478,4.017425726,0.040362094,2.444696332,27.88085114,2.788782191,2.500539019,7.56162893,10.03991768,0.76495746,0.814869925,1.128771835,41.03700828,0.794653512,34.0675097,16.85613537,14.67493787,#VALUE!,4.809765185,#VALUE!,0.963257366,2.228210732,1.545836936,8.719066545,1.123715125,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.421378693,67.77176918,8.053546128,0.958813876,#VALUE!,#VALUE!,#VALUE!,3.684822713,2.737161289,1.260920426,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,5.28673724,3.028051432,1.141542422,20.46529772,33.57452888,3.136293968,1.702549988,#VALUE!,0.131233793,0.404723825,14.35397142,53.19262605,0.410478182,#VALUE!,#VALUE!,#VALUE!,45.17065172,14.8132691,30.8523084,0.314830706,1.958324598,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,5.001026696,6.10227406,#VALUE!,0.459599645,#VALUE!,1.677650881,2.135283646,85.15832597,4.422198268,1.079921064,0.080658036,0.333590135,11.13013764,2.606889224,0.380340145,3.29744393,1.034113231,#VALUE!,0.113735779,#VALUE!,4.220047555,#VALUE!,2.654601791,#VALUE!,24.67470725,#VALUE!,0.188938847,0.183046578,0.150021789,0.252056277,0.298329907,0.209193381,0.344336208,0.667567099,0.380867738,#VALUE!,0.416041394,1.040572188,1.189663053,0.397247491,0.188325982,0.13517738,0.103148482,2.493722951,3.735941124,2.445583143,0.506819104,#VALUE!,0.2741968,0.184756028,#VALUE!,#VALUE!,0.705994672,5.171628429,6.867212777,2.558169851,0.09781489,0.101487438,0.108245052,0.475892528,1.013510121,3.921510828,4.609178308,2.806587549,0.200995161,#VALUE!,#VALUE!,#VALUE!,0.314026807,0.107803836,#VALUE!,0.161973304,0.071890371
