Lipid,PVal_WT,FC_W,PVal_KO,FC_KO,PVal_DKO,FC_DKO,Category
Cer d34:1,0.911503154802875,1.0169646344997056,0.7748751086093829,1.0571959958960375,0.039279915190997584,0.6908556507177495,
Cer d38:1,0.5250564964067556,0.9435359252855978,0.5934931726665535,1.0420046666175877,0.8959279550727031,0.9852054971958907,
Cer d42:2,0.005049181326870593,0.591951983600619,0.3113853354682273,1.479319666722939,0.11018220496904205,0.6136437512320376,
DAG 32:0,0.026772122030255776,1.367952419188577,0.5380042383291435,1.143017822753457,0.28277344618331135,0.8948180823379286,WT
DAG 34:1,0.0025343376747348953,10.518129497727873,0.46809731071208827,1.3444131746988905,0.13287136406997624,0.6761291064438973,WT
DAG 36:2,0.001980868932631606,7.265708452887156,0.4890964426183767,1.325497433286076,0.09571545131324191,0.6689605365482051,WT
DAG 36:3,0.0009654297026006293,10.178295142892582,0.4824172202847411,1.3002312311819397,0.09765471076499932,0.7096389553644342,WT
DAG 36:4,0.0013842948673248464,3.4741074124994866,0.4469981440450574,1.2202794444399767,0.22601799964335792,0.8324046809734087,WT
DAG 38:4,0.9052060995820336,1.0249333515403642,0.0030293240140409853,2.1384315201871718,0.1273622696947677,1.3785612604651531,MARCO
LPC 14:0,0.04547011297489847,0.671213344541645,0.04634433970038741,1.4469653915796625,0.05049874556454361,1.4113978890727628,MARCO
LPC 15:0,0.010587390309386102,0.7515137434119833,0.1842946193833892,1.1362432377834866,0.24270845424964152,1.0591577595718284,
LPC 16:0,0.12943134076764073,0.908482437697584,0.022593322242660835,1.1905154233024775,0.09369861150169931,1.131355060354974,MARCO
LPC 16:1,0.013536645146466905,0.7717653607964269,0.3197340712421542,1.18775678780259,0.16813524219808804,1.1455148869574885,
LPC 17:0,0.010502983724662815,0.8139975031861447,0.08920511100236247,1.1719424609257427,0.2548032213379655,1.14337762462041,
LPC 17:1,0.0647528860649211,0.7465660396591245,0.49692855482312037,1.1075730310322744,0.011406753071037898,1.192795206657564,PIK3
LPC 18:0,0.01930081092753475,0.906409687896014,0.19139558023988423,1.1896263782856087,0.003380735270208438,1.376689029520268,PIK3
LPC 18:1,0.10497758265596542,0.8973897063758481,0.1793765457487389,1.1088341719320214,0.07732179211099745,1.1372964590979087,
LPC 18:2,0.0012424157014176397,1.4668634737533526,0.2700513905745083,1.1594715282788663,0.17891777348228358,1.1688411531730531,WT
LPC 20:0,0.6090218739261359,1.0660792756557564,0.2102112836599311,1.2726946913715473,0.0018138381158992313,1.7015390392185956,PIK3
LPC 20:1,0.5231062653392397,1.0486292029256779,0.15210084431215382,1.1845854085068408,0.014759133884984206,1.2724614991102348,PIK3
LPC 20:3,0.00015441230696684833,0.4748753988596646,0.13010262179859583,1.3282777243223016,0.03812538477512805,1.4403543250072375,PIK3
LPC 20:4,0.00010994136686245792,0.4553256863458702,0.26561307896613506,1.1692826988510074,0.06363475776086047,1.261411812100191,
LPC 22:4,0.0019679247829937855,0.5992476988786083,0.6058138795383989,0.9254921686948532,0.810006897147167,0.9642379339073773,
LPC 22:5,0.000129441858116292,0.4852559354379187,0.6864266104713221,1.0764189446899233,0.2494785303241736,1.2445194167809723,
LPC 22:6,3.666786968202592e-05,0.4496532670978667,0.6439386034874237,1.0876139421621707,0.1042221223871921,1.3095858674638048,
LPC O-16:0,0.003736650289139184,0.8855674126599152,0.0034428560110340636,1.40636984951187,0.002427209504880139,1.4543855821904015,MARCO;PIK3
LPC O-16:1,0.03080943048742705,0.8247220094167491,0.030663274511670398,1.1929113059992038,0.05586511276278091,1.1968204951786605,MARCO
LPC O-18:0,0.023939310134325563,0.8294969539745275,0.09078801646810278,1.6294116401317869,0.00042715869339248624,2.2326200435253702,PIK3
LPC O-18:1,0.04189624324805915,0.8616814470158709,0.006767667069111594,1.3491771623389515,0.004337487367791349,1.522697694742145,MARCO;PIK3
LPE 16:0,0.004227877441839317,1.7654902812450082,0.056651436831701214,1.2744988937995323,0.11060535782931588,1.3394580160149145,WT
LPE 18:0,0.003876847795037351,1.6710968206618892,0.13539949631140918,1.3054204039098611,0.004971009263213539,1.5098178776132263,WT;PIK3
LPE 20:3,5.706019993659124e-06,1.9128665639217903,0.079674879819426,1.2921942312403663,0.00020957290417946128,1.5904038723991252,WT;PIK3
LPE 20:4,0.015416141568087783,0.6394219436025373,0.05447754266646108,1.3247153016456334,0.004856311908111252,1.467122849810238,PIK3
LPE 22:6,0.26534179163563293,1.1704065937326613,0.014814343916620584,1.5210726856169148,0.0005941505936607696,1.5650265653384365,MARCO;PIK3
PC 30:0,0.009966878480978273,1.1822387040939772,0.00022339542489775317,1.8062540495063935,0.0002605699144741821,1.7285171577379261,WT;MARCO;PIK3
PC 32:0,0.03372721426267517,0.8522775974383126,0.02572181980395559,1.3641377527778091,0.0080688713626565,1.243673100822625,MARCO;PIK3
PC 32:1,3.500837895866963e-05,1.9701333699150654,0.0006720469413450759,1.5004982241839386,0.00010255612339163243,1.4690303007022663,WT;MARCO;PIK3
PC 32:3,0.021912898169290356,1.2117615684074323,0.00016619189031372037,1.892625108830387,0.00033851043767623183,1.8495752619778572,WT;MARCO;PIK3
PC 33:0,0.0005935648516439868,0.7389767387049085,0.0033089499349192152,1.5626619418453258,0.0813466411969312,1.1979826969478407,MARCO
PC 33:1,0.006187835393657547,1.373264113850256,0.0004489907860319757,1.6144837503657394,0.0006169947109567889,1.479113351657642,WT;MARCO;PIK3
PC 34:0,0.00022177974467149463,0.6075358171750641,0.05503834986168038,1.450832290007324,0.8259993480682015,1.0253256827649473,
PC 34:1,4.0303993936949025e-05,2.1154375275148514,0.0033789827167827273,1.412637119096426,0.0010125436128401004,1.2044037568043897,WT;MARCO;PIK3
PC 34:2,4.605355809425851e-07,4.334286027220907,0.000261061898287228,1.617228579911694,2.764584728120674e-05,1.3922919773723177,WT;MARCO;PIK3
PC 34:3,9.648210665050136e-09,3.983055035451756,0.00044871406164964845,1.6096585307125075,1.7769108505593595e-07,1.6295874798331822,WT;MARCO;PIK3
PC 34:4,0.00042432480362778174,1.5335185251029986,4.982737738059347e-06,1.7554713822234418,0.00010691445069128926,1.9732619830672273,WT;MARCO;PIK3
PC 35:2,3.9306211711692295e-06,2.955313329104762,0.0002894316711038922,1.6561485063699108,8.377871330991601e-05,1.3923131562415005,WT;MARCO;PIK3
PC 35:5,0.0006260184836816316,2.636228076821776,0.02774317280491232,1.6877691039082536,0.007262450900565822,1.4644869074489721,WT;MARCO;PIK3
PC 36:1,0.001552617619693675,1.4884690826039084,0.014977762589446534,1.412649809284879,0.37232336529441795,1.0604795122100852,WT;MARCO
PC 36:2,2.761585428940806e-06,3.7375098032810783,0.0023067149973693547,1.459822459853882,0.0013479886452781302,1.1710390981297951,WT;MARCO;PIK3
PC 36:3,2.0914753996393405e-06,3.6170702450806975,0.00020008378449109452,1.5335665455800223,3.353390709178757e-05,1.3342428683690792,WT;MARCO;PIK3
